iter	MultiClass
0	1.07401842
1	1.051551259
2	1.030872632
3	1.011799296
4	0.9941360035
5	0.9778773901
6	0.9628394035
7	0.9488455358
8	0.9358821056
9	0.9238266354
10	0.9125230651
11	0.9020014759
12	0.8921243674
13	0.8829961484
14	0.8743685419
15	0.8662256097
16	0.8587233851
17	0.8517264711
18	0.8451546426
19	0.8390281182
20	0.8332414572
21	0.8278226627
22	0.8227312486
23	0.8179877446
24	0.8135724337
25	0.80940993
26	0.8054772077
27	0.801736489
28	0.7983184595
29	0.7949822974
30	0.7918722463
31	0.7889230485
32	0.786118398
33	0.7835630721
34	0.7810899992
35	0.7787998409
36	0.7767551816
37	0.7747017602
38	0.7727770724
39	0.7709900646
40	0.7692912769
41	0.767675305
42	0.7662444818
43	0.7647230846
44	0.7635167776
45	0.7622835577
46	0.7611106029
47	0.7599479872
48	0.7588892102
49	0.7577139709
50	0.7568247819
51	0.7557958176
52	0.7550714296
53	0.7542248458
54	0.7535442298
55	0.7529139727
56	0.7522324897
57	0.751606593
58	0.7509731326
59	0.7502980319
60	0.749679677
61	0.749142294
62	0.7485488194
63	0.7481269969
64	0.747732616
65	0.7471965903
66	0.7466859166
67	0.7461389144
68	0.7456134189
69	0.7451829796
70	0.7446593932
71	0.7442919833
72	0.7439225623
73	0.7435954414
74	0.7433427986
75	0.7429603806
76	0.7427800829
77	0.7424182788
78	0.7421390165
79	0.7417807506
80	0.7415402878
81	0.7413793049
82	0.7411361862
83	0.7408253771
84	0.7406033411
85	0.7404773803
86	0.7403000628
87	0.7400775455
88	0.7398909827
89	0.7397124414
90	0.7395611338
91	0.7394268394
92	0.7393117787
93	0.7391156546
94	0.7390074776
95	0.7388196594
96	0.7386640082
97	0.7385038135
98	0.7383123306
99	0.7380134958
100	0.7378432687
101	0.7377052812
102	0.737532704
103	0.737380509
104	0.7372011488
105	0.7370820989
106	0.7368454007
107	0.7365796771
108	0.7365041235
109	0.7363212886
110	0.736125514
111	0.7360471865
112	0.7359195767
113	0.7357800594
114	0.7356642252
115	0.7354988174
116	0.7353315251
117	0.7351163649
118	0.7349963078
119	0.7348683819
120	0.7346507228
121	0.7344837927
122	0.7343566384
123	0.7342023172
124	0.7341397756
125	0.7340807552
126	0.7338083868
127	0.7337194894
128	0.7336664895
129	0.7335157481
130	0.7334573316
131	0.7333190442
132	0.7331021857
133	0.7330199401
134	0.7329489634
135	0.7328239885
136	0.7325966743
137	0.7324979297
138	0.7324285327
139	0.7322004971
140	0.7320436073
141	0.7319634382
