iter	Passed	Remaining
0	114	22787
1	161	16035
2	199	13123
3	237	11623
4	273	10682
5	312	10097
6	356	9826
7	397	9528
8	436	9272
9	476	9062
10	519	8921
11	567	8883
12	604	8690
13	642	8537
14	680	8395
15	717	8247
16	760	8189
17	805	8144
18	874	8330
19	917	8261
20	956	8154
21	993	8037
22	1035	7966
23	1072	7863
24	1107	7751
25	1150	7696
26	1188	7616
27	1225	7530
28	1263	7452
29	1300	7369
30	1339	7301
31	1383	7265
32	1429	7233
33	1527	7457
34	1577	7435
35	1617	7369
36	1659	7308
37	1696	7234
38	1740	7186
39	1779	7117
40	1815	7039
41	1855	6981
42	1891	6904
43	1936	6865
44	1968	6782
45	2010	6730
46	2045	6659
47	2085	6604
48	2123	6542
49	2166	6498
50	2201	6430
51	2247	6396
52	2284	6336
53	2335	6313
54	2376	6265
55	2417	6216
56	2465	6184
57	2495	6109
58	2527	6040
59	2563	5981
60	2604	5935
61	2640	5877
62	2671	5809
63	2703	5744
64	2741	5694
65	2775	5634
66	2810	5579
67	2843	5520
68	2880	5468
69	2915	5415
70	2959	5376
71	2991	5319
72	3023	5260
73	3056	5204
74	3087	5145
75	3123	5096
76	3151	5034
77	3184	4980
78	3220	4932
79	3258	4888
80	3287	4829
81	3323	4782
82	3356	4731
83	3388	4679
84	3419	4626
85	3452	4576
86	3481	4522
87	3520	4480
88	3549	4427
89	3580	4376
90	3615	4331
91	3648	4282
92	3684	4239
93	3721	4196
94	3746	4140
95	3780	4095
96	3813	4049
97	3844	4001
98	3876	3955
99	3907	3907
100	3941	3863
101	3975	3819
102	4014	3780
103	4049	3737
104	4081	3692
105	4123	3656
106	4161	3617
107	4197	3575
108	4229	3531
109	4265	3489
110	4299	3447
111	4334	3405
112	4367	3362
113	4398	3318
114	4434	3277
115	4471	3238
116	4505	3196
117	4537	3153
118	4572	3112
119	4601	3067
120	4631	3023
121	4658	2978
122	4699	2942
123	4736	2902
124	4762	2857
125	4794	2815
126	4833	2778
127	4864	2736
128	4894	2693
129	4925	2652
130	4957	2611
131	4990	2570
132	5029	2533
133	5064	2494
134	5093	2452
135	5129	2413
136	5167	2376
137	5200	2336
138	5231	2295
139	5265	2256
140	5301	2218
141	5333	2178
